Xm,Ym,B_1
1023012.627,1292387.577,0.0199999995529652
1032147.845,1297274.599,0.0199999995529652
1036348.129,1295278.267,0.0500000007450581
1036202.92,1291555.403,0.0500000007450581
1036263.889,1291265.076,0.0500000007450581
1036284.246,1288059.528,0.0500000007450581
1029241.185,1285759.753,0.0199999995529652
1025999.141,1288075.499,0.0329999998211861
1024481.928,1288762.237,0.0199999995529652
1024441.94,1289194.791,0.0199999995529652
1024136.156,1289456.891,0.0199999995529652
1028409.391,1294264.337,0.0329999998211861
1028991.836,1293128.57,0.0329999998211861
1030710.048,1293740.137,0.0199999995529652
1030011.114,1294963.271,0.0199999995529652
1025409.799,1292720.858,0.0329999998211861
1026196.1,1291497.724,0.0329999998211861
1027768.701,1292254.902,0.0329999998211861
1026865.912,1293565.403,0.0329999998211861
1033738.762,1294380.826,0.0500000007450581
1034175.596,1293798.381,0.0500000007450581
1034991.018,1294206.093,0.0500000007450581
1034088.229,1295778.694,0.0500000007450581
1034874.53,1289677.583,0.0500000007450581
1034277.523,1289167.944,0.0199999995529652
1034525.063,1288672.866,0.0199999995529652
1035194.874,1288876.722,0.0500000007450581
1033127.195,1288891.283,0.0199999995529652
1032268.088,1288104.982,0.0199999995529652
1032297.211,1287624.465,0.0199999995529652
1033447.539,1287828.321,0.0199999995529652
1032260.808,1296317.456,0.0199999995529652
1032974.303,1295378.263,0.0500000007450581
1031933.183,1295451.069,0.0199999995529652
1029326.741,1286823.603,0.0199999995529652
1028915.311,1292467.932,0.0329999998211861
1024412.276,1289410.117,0.0199999995529652
1029025.108,1291902.338,0.0329999998211861
1029580.941,1291838.717,0.0199999995529652
1029975.5,1291642.229,0.0199999995529652
1029975.5,1291552.191,0.0199999995529652
1029895.467,1291402.128,0.0199999995529652
1029695.384,1291202.044,0.0199999995529652
1029573.194,1291149.539,0.0329999998211861
1029485.298,1291122.01,0.0329999998211861
1029395.261,1291081.993,0.0329999998211861
1029248.875,1290981.183,0.0329999998211861
1029121.833,1290835.549,0.0329999998211861
1028975.087,1290671.82,0.0329999998211861
1028752.069,1290323.25,0.0329999998211861
1028704.976,1290091.576,0.0329999998211861
1028733.477,1289905.974,0.0329999998211861
1028797.515,1289771.702,0.0329999998211861
1028860.519,1289625.035,0.0329999998211861
1028964.838,1289499.026,0.0329999998211861
1029085.683,1289428.792,0.0329999998211861
1029285.215,1289431.298,0.0329999998211861
1029515.31,1289591.366,0.0329999998211861
1029635.36,1289641.387,0.0329999998211861
1029705.388,1289711.416,0.0329999998211861
1029745.405,1289831.467,0.0329999998211861
1029965.496,1290111.585,0.0199999995529652
1030145.57,1290221.631,0.0199999995529652
1030345.653,1290281.656,0.0199999995529652
1030485.71,1290451.728,0.0199999995529652
1030575.748,1290491.745,0.0199999995529652
1030775.83,1290711.837,0.0199999995529652
1031025.933,1291182.035,0.0199999995529652
1031115.97,1291522.178,0.0199999995529652
1031196.003,1291892.334,0.0199999995529652
1031316.053,1292202.465,0.0199999995529652
1031326.057,1292422.557,0.0199999995529652
1031436.102,1292612.637,0.0199999995529652
1031606.173,1292752.696,0.0199999995529652
1031716.218,1292792.713,0.0199999995529652
1032206.42,1292812.721,0.0500000007450581
1032330.419,1292778.879,0.0500000007450581
1032616.589,1292792.713,0.0500000007450581
1033096.788,1292942.776,0.0500000007450581
1033266.858,1292922.768,0.0500000007450581
1034117.209,1292862.743,0.0500000007450581
1034397.324,1292982.793,0.0500000007450581
1034558.302,1292973.057,0.0500000007450581
1034820.649,1292828.973,0.0500000007450581
1035062.855,1292742.729,0.0500000007450581
1035107.617,1292752.696,0.0500000007450581
1035217.663,1292742.692,0.0500000007450581
1035407.741,1292652.654,0.0500000007450581
1035567.807,1292442.566,0.0500000007450581
1035617.828,1292152.444,0.0500000007450581
1035737.877,1291882.33,0.0500000007450581
1035734.732,1291790.43,0.0500000007450581
1035821.492,1291642.731,0.0500000007450581
1035900.98,1291575.726,0.0500000007450581
1036139.048,1291555.403,0.0500000007450581
1024263.566,1289542.438,0.0199999995529652
1024783.358,1289921.505,0.0199999995529652
1024933.42,1290001.538,0.0199999995529652
1024960.175,1290014.941,0.0199999995529652
1025164.681,1290133.72,0.0329999998211861
1025253.552,1290161.606,0.0329999998211861
1025339.235,1290227.71,0.0329999998211861
1025473.643,1290311.669,0.0329999998211861
1025530.314,1290370.245,0.0329999998211861
1025550.972,1290407.428,0.0329999998211861
1025565.432,1290430.151,0.0329999998211861
1025583.688,1290471.736,0.0329999998211861
1025803.779,1290611.795,0.0329999998211861
1025943.837,1290761.858,0.0329999998211861
1026313.989,1290891.913,0.0329999998211861
1026509.209,1290958.718,0.0329999998211861
1026674.138,1290981.951,0.0329999998211861
1027024.282,1291112.006,0.0329999998211861
1027114.32,1291182.035,0.0329999998211861
1027194.353,1291192.039,0.0329999998211861
1027384.431,1291362.111,0.0329999998211861
1027764.588,1291602.212,0.0329999998211861
1027835.92,1291624.656,0.0329999998211861
1027895.826,1291631.886,0.0329999998211861
1027914.65,1291642.229,0.0329999998211861
1028204.769,1291682.246,0.0329999998211861
1028344.827,1291812.3,0.0329999998211861
1028464.877,1291852.317,0.0329999998211861
1029025.108,1291902.338,0.0329999998211861
1035928.503,1291266.993,0.0500000007450581
1035877.935,1291272.073,0.0500000007450581
